id,known_nt,cell_type,dataset
39254,acetylcholine,VM6_adPN,fafb_catmaid
39668,acetylcholine,DL5_adPN,fafb_catmaid
39682,acetylcholine,DM4_adPN,fafb_catmaid
40306,acetylcholine,VM7d_adPN,fafb_catmaid
40637,acetylcholine,D_adPN,fafb_catmaid
40749,acetylcholine,DA4l_adPN,fafb_catmaid
41308,acetylcholine,VM3_adPN,fafb_catmaid
41578,acetylcholine,VC3_adPN,fafb_catmaid
42421,acetylcholine,VA1d_adPN,fafb_catmaid
42927,acetylcholine,VC4_adPN,fafb_catmaid
43539,acetylcholine,VM7v_adPN,fafb_catmaid
45242,acetylcholine,VC2_lPN,fafb_catmaid
46493,acetylcholine,DC4_adPN,fafb_catmaid
46800,acetylcholine,VC3_adPN,fafb_catmaid
49026,acetylcholine,"(M_adPNm4,M_adPNm5)b",fafb_catmaid
49865,acetylcholine,VM5d_adPN,fafb_catmaid
51080,acetylcholine,VA1v_adPN,fafb_catmaid
51886,acetylcholine,VM2_adPN,fafb_catmaid
52106,acetylcholine,VA1v_adPN,fafb_catmaid
53631,acetylcholine,DA2_lPN,fafb_catmaid
53671,acetylcholine,VM5v_adPN,fafb_catmaid
54072,acetylcholine,VM2_adPN,fafb_catmaid
55085,acetylcholine,VC4_adPN,fafb_catmaid
55125,acetylcholine,VA1v_adPN,fafb_catmaid
56424,acetylcholine,DM2_lPN,fafb_catmaid
56623,acetylcholine,DL2v_adPN,fafb_catmaid
56983,acetylcholine,M_lvPNm31,fafb_catmaid
56995,acetylcholine,CB2161,fafb_catmaid
56999,acetylcholine,VP1l+_lvPN,fafb_catmaid
57003,acetylcholine,VM4_lvPN,fafb_catmaid
57007,acetylcholine,M_lvPNm35,fafb_catmaid
57011,acetylcholine,M_lvPNm43,fafb_catmaid
57015,acetylcholine,CB3383,fafb_catmaid
57019,acetylcholine,M_lvPNm42,fafb_catmaid
57023,acetylcholine,M_lvPNm41,fafb_catmaid
57035,acetylcholine,M_lvPNm45,fafb_catmaid
57039,acetylcholine,M_lvPNm40,fafb_catmaid
57047,acetylcholine,M_lvPNm41,fafb_catmaid
57051,acetylcholine,M_lvPNm48,fafb_catmaid
57059,acetylcholine,CB1321,fafb_catmaid
57063,acetylcholine,MZ_lvPN,fafb_catmaid
57076,acetylcholine,M_lvPNm41,fafb_catmaid
57080,acetylcholine,M_lvPNm40,fafb_catmaid
57089,acetylcholine,M_lvPNm43,fafb_catmaid
57114,acetylcholine,CB3206,fafb_catmaid
57122,acetylcholine,CB1321,fafb_catmaid
57126,acetylcholine,M_lvPNm47,fafb_catmaid
57130,acetylcholine,CB3383,fafb_catmaid
57134,acetylcholine,M_lvPNm48,fafb_catmaid
57138,acetylcholine,M_lvPNm48,fafb_catmaid
57142,acetylcholine,CB1321,fafb_catmaid
57158,acetylcholine,M_lvPNm45,fafb_catmaid
57166,acetylcholine,CB3623,fafb_catmaid
57171,acetylcholine,M_lvPNm37,fafb_catmaid
57175,acetylcholine,CB3383,fafb_catmaid
57179,acetylcholine,M_lvPNm45,fafb_catmaid
57192,acetylcholine,VM4_lvPN,fafb_catmaid
57196,acetylcholine,M_lvPNm35,fafb_catmaid
57200,acetylcholine,VP1l+_lvPN,fafb_catmaid
57204,acetylcholine,M_lvPNm46,fafb_catmaid
57208,acetylcholine,M_lvPNm46,fafb_catmaid
57212,acetylcholine,M_lvPNm37,fafb_catmaid
57216,acetylcholine,M_lvPNm35,fafb_catmaid
57220,acetylcholine,M_lvPNm27,fafb_catmaid
57224,acetylcholine,VP1l+_lvPN,fafb_catmaid
57232,acetylcholine,M_lvPNm47,fafb_catmaid
57236,acetylcholine,M_lvPNm46,fafb_catmaid
57241,acetylcholine,DC3_adPN,fafb_catmaid
57246,acetylcholine,VA1v_adPN,fafb_catmaid
57254,acetylcholine,"(M_adPNm4,M_adPNm5)c",fafb_catmaid
57258,acetylcholine,M_adPNm6,fafb_catmaid
57266,acetylcholine,"(M_adPNm4,M_adPNm5)d",fafb_catmaid
57270,acetylcholine,"(M_adPNm4,M_adPNm5)a",fafb_catmaid
57274,acetylcholine,M_adPNm7,fafb_catmaid
57278,acetylcholine,"(M_adPNm4,M_adPNm5)b",fafb_catmaid
57307,acetylcholine,DM6_adPN,fafb_catmaid
57311,acetylcholine,DA1_lPN,fafb_catmaid
57319,acetylcholine,VA3_adPN,fafb_catmaid
57323,acetylcholine,DA1_lPN,fafb_catmaid
57333,acetylcholine,DL2d_adPN,fafb_catmaid
57337,acetylcholine,DL2d_adPN,fafb_catmaid
57341,acetylcholine,DL2d_adPN,fafb_catmaid
57349,acetylcholine,DA3_adPN,fafb_catmaid
57353,acetylcholine,DA1_lPN,fafb_catmaid
57361,acetylcholine,VA5_lPN,fafb_catmaid
57365,acetylcholine,VA5_lPN,fafb_catmaid
57381,acetylcholine,DA1_lPN,fafb_catmaid
57385,acetylcholine,DM5_lPN,fafb_catmaid
57389,acetylcholine,"(M_lPNm12,M_lPNm13)b",fafb_catmaid
57394,acetylcholine,"(M_lPNm12,M_lPNm13)b",fafb_catmaid
57402,acetylcholine,DC2_adPN,fafb_catmaid
57410,acetylcholine,VA7l_adPN,fafb_catmaid
57414,acetylcholine,DC3_adPN,fafb_catmaid
57418,acetylcholine,DA2_lPN,fafb_catmaid
57422,acetylcholine,DA2_lPN,fafb_catmaid
57426,acetylcholine,M_lPNm11D,fafb_catmaid
57430,acetylcholine,M_lPNm11A,fafb_catmaid
57442,acetylcholine,M_lPNm11B,fafb_catmaid
57446,acetylcholine,M_lPNm11D,fafb_catmaid
57450,acetylcholine,"(M_lPNm12,M_lPNm13)b",fafb_catmaid
57455,acetylcholine,"(M_lPNm12,M_lPNm13)a",fafb_catmaid
57459,acetylcholine,DL3_lPN,fafb_catmaid
57463,acetylcholine,"(M_lPNm12,M_lPNm13)b",fafb_catmaid
57467,acetylcholine,M_lPNm11C,fafb_catmaid
57516,acetylcholine,VP2_adPN,fafb_catmaid
57536,acetylcholine,M_l2PNm15,fafb_catmaid
57543,acetylcholine,M_adPNm3,fafb_catmaid
58686,acetylcholine,DP1m_adPN,fafb_catmaid
59129,acetylcholine,VC3_adPN,fafb_catmaid
60445,gaba,MB-C1,fafb_catmaid
60799,acetylcholine,DM6_adPN,fafb_catmaid
61221,acetylcholine,DA1_lPN,fafb_catmaid
61773,acetylcholine,DL2v_adPN,fafb_catmaid
62434,acetylcholine,VM5d_adPN,fafb_catmaid
65465,acetylcholine,DA3_adPN,fafb_catmaid
65762,acetylcholine,DC2_adPN,fafb_catmaid
67408,acetylcholine,DM2_lPN,fafb_catmaid
67637,acetylcholine,DL2v_adPN,fafb_catmaid
68697,acetylcholine,DM6_adPN,fafb_catmaid
73926,acetylcholine,M_adPNm8,fafb_catmaid
77661,acetylcholine,DL3_lPN,fafb_catmaid
80008,acetylcholine,"(M_adPNm4,M_adPNm5)b",fafb_catmaid
165303,acetylcholine,VA3_adPN,fafb_catmaid
177540,acetylcholine,M_lvPNm39,fafb_catmaid
177545,acetylcholine,M_lvPNm24,fafb_catmaid
177549,acetylcholine,M_lvPNm29,fafb_catmaid
177584,acetylcholine,M_lvPNm24,fafb_catmaid
177656,acetylcholine,CB1461,fafb_catmaid
177706,acetylcholine,DL3_lPN,fafb_catmaid
177997,acetylcholine,M_lvPNm25,fafb_catmaid
182684,acetylcholine,M_lPNm11D,fafb_catmaid
186573,acetylcholine,VA7m_lPN,fafb_catmaid
304945,acetylcholine,MBON12,fafb_catmaid
346114,acetylcholine,MBON18,fafb_catmaid
400943,acetylcholine,VC5_lvPN,fafb_catmaid
531931,gaba,VA1d_vPN,fafb_catmaid
533772,acetylcholine,CB2019,fafb_catmaid
534333,acetylcholine,aSP-g2,fafb_catmaid
535060,gaba,MB-C1,fafb_catmaid
551975,glutamate,MBON07,fafb_catmaid
561100,gaba,VP3+_vPN,fafb_catmaid
563383,acetylcholine,MBON28,fafb_catmaid
581536,acetylcholine,DL3_lPN,fafb_catmaid
583167,gaba,M_vPNml68,fafb_catmaid
699859,acetylcholine,DL2d_adPN,fafb_catmaid
709943,gaba,M_vPNml72,fafb_catmaid
755022,acetylcholine,DA1_lPN,fafb_catmaid
771242,acetylcholine,DC1_adPN,fafb_catmaid
775731,acetylcholine,VM1_lPN,fafb_catmaid
1041505,acetylcholine,aSP-g3A,fafb_catmaid
1055936,acetylcholine,aSP-g2,fafb_catmaid
1064687,acetylcholine,aSP-g2,fafb_catmaid
1064853,acetylcholine,aSP-g2,fafb_catmaid
1064888,acetylcholine,aSP-g1,fafb_catmaid
1070581,acetylcholine,aSP-g1,fafb_catmaid
1072354,gaba,ER2,fafb_catmaid
1074687,acetylcholine,aSP-g1,fafb_catmaid
1079174,dopamine,PAM08,fafb_catmaid
1079881,acetylcholine,aSP-g1,fafb_catmaid
1083904,acetylcholine,aSP-g1,fafb_catmaid
1085816,dopamine,PPL101,fafb_catmaid
1086385,acetylcholine,aSP-g2,fafb_catmaid
1100594,acetylcholine,aSP-g1,fafb_catmaid
1101176,acetylcholine,aSP-g1,fafb_catmaid
1103232,glutamate,CB2318,fafb_catmaid
1136366,acetylcholine,M_lvPNm28,fafb_catmaid
1136923,acetylcholine,CB1988,fafb_catmaid
1137895,acetylcholine,M_lvPNm29,fafb_catmaid
1142316,acetylcholine,M_lvPNm25,fafb_catmaid
1144225,acetylcholine,M_lvPNm26,fafb_catmaid
1144402,acetylcholine,M_lvPNm26,fafb_catmaid
1149173,gaba,VP4_vPN,fafb_catmaid
1149437,acetylcholine,aSP-g2,fafb_catmaid
1168923,acetylcholine,aSP-g3B,fafb_catmaid
1288534,gaba,LHAV4a1_b,fafb_catmaid
1299700,acetylcholine,CB3205,fafb_catmaid
1305588,acetylcholine,MBON19,fafb_catmaid
1310573,acetylcholine,MBON28,fafb_catmaid
1313334,gaba,WEDPN3,fafb_catmaid
1322907,acetylcholine,MBON17,fafb_catmaid
1372988,acetylcholine,M_lvPNm48,fafb_catmaid
1415926,acetylcholine,CB0936,fafb_catmaid
1420974,acetylcholine,MBON18,fafb_catmaid
1478950,dopamine,PPL203,fafb_catmaid
1532304,gaba,DP1m_vPN,fafb_catmaid
1533152,gaba,CB2589,fafb_catmaid
1533901,gaba,CB2020,fafb_catmaid
1546454,glutamate,CB.FB2E6,fafb_catmaid
1579001,dopamine,PPL103,fafb_catmaid
1605598,acetylcholine,MBON19,fafb_catmaid
1606113,acetylcholine,CB3198,fafb_catmaid
1621078,acetylcholine,LHPV5g1_b,fafb_catmaid
1695556,acetylcholine,M_adPNm8,fafb_catmaid
1702624,gaba,VL2p_vPN,fafb_catmaid
1703872,gaba,CB1367,fafb_catmaid
1712057,acetylcholine,VP2+_adPN,fafb_catmaid
1720254,acetylcholine,M_lvPNm44,fafb_catmaid
1722202,gaba,VA1v_vPN,fafb_catmaid
1722886,gaba,M_vPNml72,fafb_catmaid
1724508,gaba,M_vPNml53,fafb_catmaid
1724523,gaba,VL2a_vPN,fafb_catmaid
1725235,gaba,CB3597,fafb_catmaid
1759551,gaba,CB2561,fafb_catmaid
1775706,acetylcholine,DL1_adPN,fafb_catmaid
1785034,acetylcholine,DA2_lPN,fafb_catmaid
1811442,gaba,DA1_vPN,fafb_catmaid
1870230,acetylcholine,LHAV2a3c,fafb_catmaid
1879479,acetylcholine,LHAD1f4c,fafb_catmaid
1903280,gaba,VL2a_vPN,fafb_catmaid
1909670,gaba,M_vPNml63,fafb_catmaid
1945857,gaba,LHPV2e1_a,fafb_catmaid
1967862,acetylcholine,LHAV1a3,fafb_catmaid
1967891,gaba,CB2212,fafb_catmaid
2050178,gaba,CB1041,fafb_catmaid
2096700,glutamate,CB3443,fafb_catmaid
2106411,dopamine,PPL102,fafb_catmaid
2130631,acetylcholine,LHAV2m1,fafb_catmaid
2182498,gaba,CB3457,fafb_catmaid
2227866,gaba,VA1v_vPN,fafb_catmaid
2227995,gaba,WEDPN1A,fafb_catmaid
2250960,dopamine,SMP178,fafb_catmaid
2319457,acetylcholine,DA1_lPN,fafb_catmaid
2321893,gaba,M_vPNml68,fafb_catmaid
2322063,gaba,M_vPNml67,fafb_catmaid
2334841,gaba,DA1_vPN,fafb_catmaid
2335985,acetylcholine,DL3_lPN,fafb_catmaid
2340896,acetylcholine,DL3_lPN,fafb_catmaid
2345089,acetylcholine,DA1_lPN,fafb_catmaid
2349018,acetylcholine,DL3_lPN,fafb_catmaid
2349022,acetylcholine,DL3_lPN,fafb_catmaid
2349030,acetylcholine,DL3_lPN,fafb_catmaid
2349421,dopamine,PPL106,fafb_catmaid
2352723,acetylcholine,VA7m_lPN,fafb_catmaid
2353601,acetylcholine,VA5_lPN,fafb_catmaid
2379517,acetylcholine,DA1_lPN,fafb_catmaid
2380564,acetylcholine,DA1_lPN,fafb_catmaid
2381432,gaba,VA1v_vPN,fafb_catmaid
2381753,acetylcholine,DA1_lPN,fafb_catmaid
2391559,glutamate,CB1518,fafb_catmaid
2402951,acetylcholine,LHAD1d1,fafb_catmaid
2405329,acetylcholine,DA2_lPN,fafb_catmaid
2405823,acetylcholine,DA2_lPN,fafb_catmaid
2405959,acetylcholine,DA2_lPN,fafb_catmaid
2425247,acetylcholine,CB1656,fafb_catmaid
2444645,acetylcholine,DA4l_adPN,fafb_catmaid
2468193,acetylcholine,DM5_lPN,fafb_catmaid
2468708,acetylcholine,DA2_lPN,fafb_catmaid
2474754,acetylcholine,DC3_adPN,fafb_catmaid
2477473,acetylcholine,aSP-g2,fafb_catmaid
2484510,gaba,VP4+_vPN,fafb_catmaid
2551627,acetylcholine,VA1v_adPN,fafb_catmaid
2560742,gaba,M_vPNml55,fafb_catmaid
2561343,gaba,VA1v_vPN,fafb_catmaid
2604019,acetylcholine,DL2v_adPN,fafb_catmaid
2611459,gaba,M_vPNml63,fafb_catmaid
2615448,acetylcholine,VM5d_adPN,fafb_catmaid
2645953,gaba,M_vPNml55,fafb_catmaid
2653656,gaba,VA1d_vPN,fafb_catmaid
2684792,acetylcholine,LHAV1a1,fafb_catmaid
2693456,acetylcholine,DC4_adPN,fafb_catmaid
2712414,gaba,AVLP446,fafb_catmaid
2766186,gaba,M_vPNml50,fafb_catmaid
2794070,acetylcholine,LHAV1a3,fafb_catmaid
2839458,acetylcholine,VA1d_adPN,fafb_catmaid
2842610,acetylcholine,CB1870,fafb_catmaid
2845576,gaba,CB2761,fafb_catmaid
2846667,gaba,VL1_vPN,fafb_catmaid
2863104,acetylcholine,DA1_lPN,fafb_catmaid
2923716,dopamine,PAM13,fafb_catmaid
2931393,acetylcholine,MBON15-like,fafb_catmaid
2931963,dopamine,PPL105,fafb_catmaid
2992998,gaba,M_vPNml67,fafb_catmaid
2999878,acetylcholine,DA2_lPN,fafb_catmaid
3003322,gaba,M_vPNml50,fafb_catmaid
3019352,dopamine,PAM05,fafb_catmaid
3020362,gaba,CB2900,fafb_catmaid
3025479,dopamine,PAM01,fafb_catmaid
3026119,dopamine,PAM01,fafb_catmaid
3033024,dopamine,PAM07,fafb_catmaid
3033048,dopamine,PAM07,fafb_catmaid
3134936,dopamine,PAM01,fafb_catmaid
3139915,gaba,M_vPNml63,fafb_catmaid
3154013,glutamate,PVLP008,fafb_catmaid
3155729,glutamate,PVLP008,fafb_catmaid
3200911,acetylcholine,VM4_lvPN,fafb_catmaid
3239781,acetylcholine,DA1_lPN,fafb_catmaid
3420237,acetylcholine,VM6_adPN,fafb_catmaid
3440525,gaba,AVLP447,fafb_catmaid
3467989,gaba,M_vPNml54,fafb_catmaid
3481901,glutamate,CB2722,fafb_catmaid
3519113,acetylcholine,VC1_lPN,fafb_catmaid
3543165,dopamine,PAM07,fafb_catmaid
3580588,acetylcholine,MBON19,fafb_catmaid
3587600,acetylcholine,CB1166,fafb_catmaid
3639761,dopamine,PAM01,fafb_catmaid
3643164,acetylcholine,MBON19,fafb_catmaid
3646122,acetylcholine,VA1d_adPN,fafb_catmaid
3648956,acetylcholine,M_lPNm11A,fafb_catmaid
3663498,gaba,M_vPNml64,fafb_catmaid
3742499,acetylcholine,VP1l+_lvPN,fafb_catmaid
3771419,gaba,CB2536,fafb_catmaid
3813274,gaba,Z_vPNml1,fafb_catmaid
3813278,gaba,M_vPNml53,fafb_catmaid
3813282,gaba,M_vPNml84,fafb_catmaid
3813322,gaba,M_vPNml53,fafb_catmaid
3813331,gaba,M_vPNml57,fafb_catmaid
3813335,gaba,CB2020,fafb_catmaid
3813343,gaba,CB2589,fafb_catmaid
3813347,gaba,CB2561,fafb_catmaid
3813351,gaba,M_vPNml53,fafb_catmaid
3813399,gaba,CB2004,fafb_catmaid
3813403,gaba,DC4_vPN,fafb_catmaid
3813424,gaba,M_vPNml62,fafb_catmaid
3813430,gaba,CB2900,fafb_catmaid
3813434,gaba,CB1041,fafb_catmaid
3813438,gaba,CB3447,fafb_catmaid
3813442,gaba,M_vPNml60,fafb_catmaid
3813447,gaba,M_vPNml60,fafb_catmaid
3813451,gaba,CB2772,fafb_catmaid
3813455,gaba,VL2a_vPN,fafb_catmaid
3813483,gaba,CB2703,fafb_catmaid
3813487,gaba,CB2703,fafb_catmaid
3813495,gaba,CB2703,fafb_catmaid
3813499,gaba,M_vPNml53,fafb_catmaid
3842493,gaba,CB2307,fafb_catmaid
3903440,gaba,M_vPNml67,fafb_catmaid
3922783,gaba,M_vPNml65,fafb_catmaid
3931527,acetylcholine,MBON17,fafb_catmaid
3931736,acetylcholine,LHPV3b1_b,fafb_catmaid
3931886,gaba,CB1486,fafb_catmaid
3932461,gaba,CB2151,fafb_catmaid
3959520,gaba,CB2761,fafb_catmaid
3998193,gaba,M_vPNml63,fafb_catmaid
3999003,gaba,M_vPNml65,fafb_catmaid
4044614,glutamate,CB1571,fafb_catmaid
4071314,acetylcholine,MBON17-like,fafb_catmaid
4100701,glutamate,CB2807,fafb_catmaid
4133313,acetylcholine,MBON16,fafb_catmaid
4177248,acetylcholine,VP1l+_lvPN,fafb_catmaid
4182038,glutamate,CB1813,fafb_catmaid
4207871,acetylcholine,DA1_lPN,fafb_catmaid
4215506,glutamate,CB2807,fafb_catmaid
4292232,glutamate,CB1209,fafb_catmaid
4340854,gaba,DL2d_vPN,fafb_catmaid
4467245,acetylcholine,VA1v_adPN,fafb_catmaid
4491591,gaba,CB2372,fafb_catmaid
4494818,acetylcholine,D_adPN,fafb_catmaid
4494848,acetylcholine,DL2v_adPN,fafb_catmaid
4495013,acetylcholine,VA7l_adPN,fafb_catmaid
4495262,acetylcholine,CB2388,fafb_catmaid
4495405,acetylcholine,MZ_lvPN,fafb_catmaid
4503656,acetylcholine,"(M_lPNm12,M_lPNm13)b",fafb_catmaid
4520197,acetylcholine,M_lvPNm45,fafb_catmaid
4520615,acetylcholine,M_lvPNm45,fafb_catmaid
4564401,acetylcholine,DC2_adPN,fafb_catmaid
4586967,acetylcholine,VC3_adPN,fafb_catmaid
4624321,gaba,M_vPNml84,fafb_catmaid
4624325,gaba,M_vPNml80,fafb_catmaid
4624334,gaba,CB2020,fafb_catmaid
4624338,gaba,CB1296,fafb_catmaid
4624346,gaba,CB2004,fafb_catmaid
4624362,gaba,CB1296,fafb_catmaid
4624374,gaba,CB2589,fafb_catmaid
4624378,gaba,M_vPNml72,fafb_catmaid
4624382,gaba,CL114,fafb_catmaid
4631791,gaba,CB3228,fafb_catmaid
4632023,gaba,M_vPNml60,fafb_catmaid
4632091,gaba,DP1l_vPN,fafb_catmaid
4632101,gaba,CB2772,fafb_catmaid
4632128,gaba,CB2711,fafb_catmaid
4632208,gaba,DC4_vPN,fafb_catmaid
4662243,gaba,M_vPNml69,fafb_catmaid
4724830,acetylcholine,CB3383,fafb_catmaid
4812228,gaba,DL2d_vPN,fafb_catmaid
4926877,gaba,M_vPNml51,fafb_catmaid
4927529,gaba,CB1296,fafb_catmaid
4949516,gaba,CB1296,fafb_catmaid
4954519,gaba,ALv1_23,fafb_catmaid
4987502,acetylcholine,MBON16,fafb_catmaid
5019352,gaba,DM4_vPN,fafb_catmaid
5169854,acetylcholine,M_lvPNm37,fafb_catmaid
5217967,gaba,M_vPNml84,fafb_catmaid
5269364,acetylcholine,DL1_adPN,fafb_catmaid
5281408,gaba,MBON20,fafb_catmaid
5292219,acetylcholine,LHPV5b2,fafb_catmaid
5305037,acetylcholine,DL1_adPN,fafb_catmaid
5471515,gaba,VP3+_vPN,fafb_catmaid
5485737,gaba,CB2372,fafb_catmaid
5494609,acetylcholine,CB1988,fafb_catmaid
5643689,gaba,CB3447,fafb_catmaid
5676478,acetylcholine,LHPV5c2,fafb_catmaid
5698567,gaba,v2LN38,fafb_catmaid
5807217,acetylcholine,LHPV5g2,fafb_catmaid
5952481,acetylcholine,MBON15-like,fafb_catmaid
5981322,dopamine,PAM08,fafb_catmaid
5990596,gaba,CB3123,fafb_catmaid
6012881,acetylcholine,MBON15-like,fafb_catmaid
6013610,gaba,ALv2_14,fafb_catmaid
6026853,acetylcholine,MBON15-like,fafb_catmaid
6059582,dopamine,PAM01,fafb_catmaid
6181246,dopamine,PAM01,fafb_catmaid
6197374,acetylcholine,LHPV5c3,fafb_catmaid
6201502,dopamine,PAM06,fafb_catmaid
6203604,glutamate,CB1777,fafb_catmaid
6208788,gaba,ER2,fafb_catmaid
6231076,gaba,ER5,fafb_catmaid
6305684,gaba,v2LN34E,fafb_catmaid
6346245,gaba,ER4d,fafb_catmaid
6353358,gaba,ER4d,fafb_catmaid
6357332,gaba,ER5,fafb_catmaid
6393609,gaba,ER4d,fafb_catmaid
6408087,gaba,ER2,fafb_catmaid
6411847,gaba,ER2,fafb_catmaid
6417166,gaba,ER4d,fafb_catmaid
6418207,gaba,ER2,fafb_catmaid
6418500,gaba,ER4d,fafb_catmaid
6423165,gaba,ER5,fafb_catmaid
6622015,gaba,M_vPNml69,fafb_catmaid
6649459,acetylcholine,aSP-g3B,fafb_catmaid
6695923,gaba,DP1m_vPN,fafb_catmaid
6696675,gaba,CB2761,fafb_catmaid
6698696,gaba,CB2761,fafb_catmaid
6699444,gaba,M_vPNml53,fafb_catmaid
6700447,gaba,CB2004,fafb_catmaid
6701307,gaba,CB1296,fafb_catmaid
6701319,gaba,CB1296,fafb_catmaid
6702019,gaba,M_vPNml84,fafb_catmaid
6772893,glutamate,LHAV6c1a,fafb_catmaid
6813859,gaba,ER4d,fafb_catmaid
6967069,gaba,M_vPNml53,fafb_catmaid
6985906,gaba,ER4d,fafb_catmaid
7014054,gaba,ER4d,fafb_catmaid
7014310,gaba,ER4d,fafb_catmaid
7029666,gaba,ER4d,fafb_catmaid
7185587,gaba,WED069,fafb_catmaid
7261773,acetylcholine,M_lPNm11A,fafb_catmaid
7270967,dopamine,CB2730,fafb_catmaid
7414894,acetylcholine,M_lvPNm44,fafb_catmaid
7414898,acetylcholine,M_lvPNm42,fafb_catmaid
7414907,acetylcholine,M_lvPNm40,fafb_catmaid
7414912,acetylcholine,M_lvPNm41,fafb_catmaid
7414916,acetylcholine,M_lvPNm43,fafb_catmaid
7415649,acetylcholine,M_lvPNm41,fafb_catmaid
7423472,acetylcholine,CB2388,fafb_catmaid
7423477,acetylcholine,M_lvPNm42,fafb_catmaid
7430367,acetylcholine,M_lvPNm43,fafb_catmaid
7433204,acetylcholine,M_lvPNm41,fafb_catmaid
7463926,acetylcholine,VP1l+_lvPN,fafb_catmaid
7512499,dopamine,PAM02,fafb_catmaid
7647498,acetylcholine,M_lvPNm47,fafb_catmaid
7691475,acetylcholine,CB1988,fafb_catmaid
7703853,acetylcholine,M_lvPNm46,fafb_catmaid
7709544,acetylcholine,M_lvPNm40,fafb_catmaid
7710838,acetylcholine,M_lvPNm45,fafb_catmaid
7777207,dopamine,PAM02,fafb_catmaid
7856299,acetylcholine,aSP-g3B,fafb_catmaid
7899781,acetylcholine,aSP-g2,fafb_catmaid
7918690,acetylcholine,aSP-g2,fafb_catmaid
8282397,acetylcholine,VM4_lvPN,fafb_catmaid
8415303,acetylcholine,aSP-g3A,fafb_catmaid
8521115,acetylcholine,"LC40a,LC40b",fafb_catmaid
8864990,acetylcholine,VP2+_adPN,fafb_catmaid
9039579,gaba,VP4_vPN,fafb_catmaid
9101937,acetylcholine,CB1321,fafb_catmaid
9159128,acetylcholine,VP2_adPN,fafb_catmaid
9290368,acetylcholine,VA5_lPN,fafb_catmaid
9511430,acetylcholine,VP5+Z_adPN,fafb_catmaid
9608778,gaba,"vLN28,vLN29",fafb_catmaid
9751736,gaba,M_vPNml64,fafb_catmaid
9752522,gaba,CB3457,fafb_catmaid
9806717,acetylcholine,VM2_adPN,fafb_catmaid
9900451,acetylcholine,VA5_lPN,fafb_catmaid
10041038,acetylcholine,"(M_lPNm12,M_lPNm13)b",fafb_catmaid
10138363,acetylcholine,VA1d_adPN,fafb_catmaid
10155401,acetylcholine,VA1d_adPN,fafb_catmaid
10537555,acetylcholine,DM6_adPN,fafb_catmaid
10537635,acetylcholine,DM6_adPN,fafb_catmaid
10538081,acetylcholine,VM7v_adPN,fafb_catmaid
10538493,acetylcholine,DL2d_adPN,fafb_catmaid
10541812,acetylcholine,VM5d_adPN,fafb_catmaid
10932492,gaba,M_vPNml63,fafb_catmaid
10932511,gaba,Z_vPNml1,fafb_catmaid
