cell_type,cell_type_nt,cell_type_confidence,known_nt,known_nt_source,ito_lee_hemilineage,hartenstein_hemilineage,morphology_group,flow,cell_class,cell_sub_class,acetylcholine_fafb_n,acetylcholine_cell_type_fafb_confidence_sum,glutamate_fafb_n,glutamate_cell_type_fafb_confidence_sum,serotonin_fafb_n,dopamine_fafb_n,serotonin_cell_type_fafb_confidence_sum,dopamine_cell_type_fafb_confidence_sum,gaba_fafb_n,gaba_cell_type_fafb_confidence_sum,octopamine_fafb_n,octopamine_cell_type_fafb_confidence_sum,hemibrain_type,hemibrain_type_nt,hemibrain_type_confidence,acetylcholine_hemibrain_n,acetylcholine_cell_type_hemibrain_confidence_sum,glutamate_hemibrain_n,glutamate_cell_type_hemibrain_confidence_sum,dopamine_hemibrain_n,dopamine_cell_type_hemibrain_confidence_sum,serotonin_hemibrain_n,serotonin_cell_type_hemibrain_confidence_sum,gaba_hemibrain_n,gaba_cell_type_hemibrain_confidence_sum,octopamine_hemibrain_n,octopamine_cell_type_hemibrain_confidence_sum
M_adPNm6,acetylcholine,0.98,acetylcholine,"Tanaka et al., 2012",ALad1,BAmv3,NA,intrinsic,ALPN,multiglomerular,2,1.831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M_adPNm6,acetylcholine,0.94,1,0.864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M_adPNm7,acetylcholine,0.98,acetylcholine,"Tanaka et al., 2012",ALad1,BAmv3,NA,intrinsic,ALPN,multiglomerular,2,1.748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M_adPNm7,acetylcholine,0.94,1,0.872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M_adPNm8,acetylcholine,0.98,acetylcholine,"Tanaka et al., 2012",ALad1,BAmv3,NA,intrinsic,ALPN,multiglomerular,4,3.601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M_adPNm8,acetylcholine,0.94,3,0.903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VA1d_adPN,acetylcholine,0.98,acetylcholine,"Tanaka et al., 2012",ALad1,BAmv3,ALad1__2,intrinsic,ALPN,uniglomerular,6,5.603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,VA1d_adPN,acetylcholine,0.94,3,0.9157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VA1v_adPN,acetylcholine,0.98,acetylcholine,"Tanaka et al., 2012",ALad1,BAmv3,ALad1__2,intrinsic,ALPN,uniglomerular,9,7.746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,VA1v_adPN,acetylcholine,0.94,3,0.8913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VA3_adPN,acetylcholine,0.98,acetylcholine,"Tanaka et al., 2012",ALad1,BAmv3,NA,intrinsic,ALPN,uniglomerular,4,3.708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,VA3_adPN,acetylcholine,0.94,2,0.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VC3_adPN,acetylcholine,0.98,acetylcholine,"Tanaka et al., 2012",ALad1,BAmv3,ALad1__1,intrinsic,ALPN,uniglomerular,8,7.388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,VC3l_adPN,acetylcholine,0.94,3,0.9136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VC4_adPN,acetylcholine,0.98,acetylcholine,"Tanaka et al., 2012",ALad1,BAmv3,ALad1__1,intrinsic,ALPN,uniglomerular,5,4.542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,VC4_adPN,acetylcholine,0.94,3,0.914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VM2_adPN,acetylcholine,0.98,acetylcholine,"Tanaka et al., 2012",ALad1,BAmv3,NA,intrinsic,ALPN,uniglomerular,4,3.602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,VM2_adPN,acetylcholine,0.94,2,0.9225000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VM5d_adPN,acetylcholine,0.98,acetylcholine,"Tanaka et al., 2012",ALad1,BAmv3,ALad1__1,intrinsic,ALPN,uniglomerular,9,7.776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,VM5d_adPN,acetylcholine,0.94,5,0.9164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VM5v_adPN,acetylcholine,0.98,acetylcholine,"Tanaka et al., 2012",ALad1,BAmv3,ALad1__1,intrinsic,ALPN,uniglomerular,6,5.431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,VM5v_adPN,acetylcholine,0.94,2,0.923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VM7d_adPN,acetylcholine,0.98,acetylcholine,"Tanaka et al., 2012",ALad1,BAmv3,ALad1__1,intrinsic,ALPN,uniglomerular,5,4.575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,VM7d_adPN,acetylcholine,0.94,2,0.9135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VM7v_adPN,acetylcholine,0.98,acetylcholine,"Tanaka et al., 2012",ALad1,BAmv3,NA,intrinsic,ALPN,uniglomerular,4,3.581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,VM7v_adPN,acetylcholine,0.94,2,0.9065000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VP2+_adPN,acetylcholine,0.98,acetylcholine,"Tanaka et al., 2012",ALad1,BAmv3,NA,intrinsic,ALPN,multiglomerular,2,1.791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,VP2+_adPN,acetylcholine,0.94,1,0.918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VP2_adPN,acetylcholine,0.98,acetylcholine,"Tanaka et al., 2012",ALad1,BAmv3,NA,intrinsic,ALPN,uniglomerular,2,1.843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,VP2_adPN,acetylcholine,0.94,1,0.918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VP5+Z_adPN,acetylcholine,0.98,acetylcholine,"Tanaka et al., 2012",ALad1,BAmv3,NA,intrinsic,ALPN,multiglomerular,2,1.858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DA3_adPN,acetylcholine,0.98,acetylcholine,"Tanaka et al., 2012",ALad1__prim,BAmv3__prim,NA,intrinsic,ALPN,uniglomerular,4,3.6180000000000003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DA3_adPN,acetylcholine,0.94,2,0.898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DA4l_adPN,acetylcholine,0.98,acetylcholine,"Tanaka et al., 2012",ALad1__prim,BAmv3__prim,NA,intrinsic,ALPN,uniglomerular,2,1.867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DA4l_adPN,acetylcholine,0.94,1,0.929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DC1_adPN,acetylcholine,0.98,acetylcholine,"Tanaka et al., 2012",ALad1__prim,BAmv3__prim,NA,intrinsic,ALPN,uniglomerular,2,1.864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DC1_adPN,acetylcholine,0.94,1,0.916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DL1_adPN,acetylcholine,0.98,acetylcholine,"Tanaka et al., 2012",ALad1__prim,BAmv3__prim,NA,intrinsic,ALPN,uniglomerular,4,3.572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DL1_adPN,acetylcholine,0.94,2,0.913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DL4_adPN,acetylcholine,0.98,acetylcholine,"Tanaka et al., 2012",ALad1__prim,BAmv3__prim,NA,intrinsic,ALPN,uniglomerular,2,1.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DL4_adPN,acetylcholine,0.94,1,0.923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DL5_adPN,acetylcholine,0.98,acetylcholine,"Tanaka et al., 2012",ALad1__prim,BAmv3__prim,NA,intrinsic,ALPN,uniglomerular,2,1.839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DL5_adPN,acetylcholine,0.94,1,0.921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM3_adPN,acetylcholine,0.98,acetylcholine,"Tanaka et al., 2012",ALad1__prim,BAmv3__prim,NA,intrinsic,ALPN,uniglomerular,2,1.8330000000000002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DM3_adPN,acetylcholine,0.94,1,0.916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM4_adPN,acetylcholine,0.98,acetylcholine,"Tanaka et al., 2012",ALad1__prim,BAmv3__prim,NA,intrinsic,ALPN,uniglomerular,2,1.818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DM4_adPN,acetylcholine,0.94,1,0.914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DP1l_adPN,acetylcholine,0.98,acetylcholine,"Tanaka et al., 2012",ALad1__prim,BAmv3__prim,NA,intrinsic,ALPN,uniglomerular,2,1.839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DP1l_adPN,acetylcholine,0.94,1,0.903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DP1m_adPN,acetylcholine,0.98,acetylcholine,"Tanaka et al., 2012",ALad1__prim,BAmv3__prim,NA,intrinsic,ALPN,uniglomerular,2,1.827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DP1m_adPN,acetylcholine,0.94,1,0.919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VA2_adPN,acetylcholine,0.98,acetylcholine,"Tanaka et al., 2012",ALad1__prim,BAmv3__prim,NA,intrinsic,ALPN,uniglomerular,2,1.8330000000000002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,VA2_adPN,acetylcholine,0.94,1,0.916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VA6_adPN,acetylcholine,0.98,acetylcholine,"Tanaka et al., 2012",ALad1__prim,BAmv3__prim,NA,intrinsic,ALPN,uniglomerular,2,1.851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,VA6_adPN,acetylcholine,0.94,1,0.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VA7l_adPN,acetylcholine,0.98,acetylcholine,"Tanaka et al., 2012",ALad1__prim,BAmv3__prim,NA,intrinsic,ALPN,uniglomerular,2,1.8090000000000002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,VA7l_adPN,acetylcholine,0.94,1,0.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VL2a_adPN,acetylcholine,0.98,acetylcholine,"Tanaka et al., 2012",ALad1__prim,BAmv3__prim,NA,intrinsic,ALPN,uniglomerular,2,1.864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,VL2a_adPN,acetylcholine,0.94,1,0.902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VL2p_adPN,acetylcholine,0.98,acetylcholine,"Tanaka et al., 2012",ALad1__prim,BAmv3__prim,NA,intrinsic,ALPN,uniglomerular,2,1.854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,VL2p_adPN,acetylcholine,0.94,1,0.921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VM3_adPN,acetylcholine,0.98,acetylcholine,"Tanaka et al., 2012",ALad1__prim,BAmv3__prim,NA,intrinsic,ALPN,uniglomerular,4,3.758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,VM3_adPN,acetylcholine,0.94,2,0.917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VM4_adPN,acetylcholine,0.98,acetylcholine,"Tanaka et al., 2012",ALad1__prim,BAmv3__prim,NA,intrinsic,ALPN,uniglomerular,2,1.826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,VM4_adPN,acetylcholine,0.94,1,0.915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VM6_adPN,acetylcholine,0.98,acetylcholine,"Tanaka et al., 2012",ALad1__prim,BAmv3__prim,NA,intrinsic,ALPN,uniglomerular,2,1.824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,VC5_adPN,acetylcholine,0.94,1,0.926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CB2845,acetylcholine,0.98,NA,NA,ALl1_dorsal,BAlc_dorsal,ALl1_dorsal__0,intrinsic,ALLN,NA,3,1.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CB3679,acetylcholine,0.98,NA,NA,ALl1_dorsal,BAlc_dorsal,ALl1_dorsal__0,intrinsic,ALLN,NA,2,1.213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
l2LN23,acetylcholine,0.755,NA,NA,ALl1_dorsal,BAlc_dorsal,NA,intrinsic,ALLN,NA,1,0.576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,l2LN23,gaba,0.8,NA,NA,NA,NA,NA,NA,NA,NA,2,0.585,NA,NA
lLN1_bc,acetylcholine,0.647,NA,NA,ALl1_dorsal,BAlc_dorsal,ALl1_dorsal__0,intrinsic,ALLN,NA,3,1.1219999999999999,NA,NA,3,NA,1.048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
lLN2X06,acetylcholine,0.98,NA,NA,ALl1_dorsal,BAlc_dorsal,ALl1_dorsal__0,intrinsic,ALLN,NA,3,1.456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
lLN2X07,acetylcholine,0.98,NA,NA,ALl1_dorsal,BAlc_dorsal,ALl1_dorsal__0,intrinsic,ALLN,NA,3,1.718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
lLN2X09,acetylcholine,0.98,NA,NA,ALl1_dorsal,BAlc_dorsal,ALl1_dorsal__0,intrinsic,ALLN,NA,2,1.146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
lLN2X10,acetylcholine,0.98,NA,NA,ALl1_dorsal,BAlc_dorsal,ALl1_dorsal__0,intrinsic,ALLN,NA,4,2.266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
lLN2X12,acetylcholine,0.8877,NA,NA,ALl1_dorsal,BAlc_dorsal,ALl1_dorsal__0,intrinsic,ALLN,NA,9,4.3660000000000005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
lLN9,acetylcholine,0.8086,NA,NA,ALl1_dorsal,BAlc_dorsal,ALl1_dorsal__0,intrinsic,ALLN,NA,3,1.5630000000000002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lLN9,gaba,0.445,NA,NA,NA,NA,NA,NA,NA,NA,1,0.168,NA,NA
CB1132,gaba,0.5425,NA,NA,ALl1_dorsal,BAlc_dorsal,ALl1_dorsal__0,intrinsic,ALLN,NA,1,0.475,NA,NA,NA,NA,NA,NA,2,0.962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CB1141,gaba,0.816,NA,NA,ALl1_dorsal,BAlc_dorsal,ALl1_dorsal__0,intrinsic,ALLN,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2.141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CB1285,gaba,0.6,NA,NA,ALl1_dorsal,BAlc_dorsal,ALl1_dorsal__0,intrinsic,ALLN,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2.526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CB1473,gaba,0.58,NA,NA,ALl1_dorsal,BAlc_dorsal,ALl1_dorsal__0,intrinsic,ALLN,NA,2,1.028,NA,NA,NA,NA,NA,NA,3,1.4849999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CB1546,gaba,0.6514,NA,NA,ALl1_dorsal,BAlc_dorsal,ALl1_dorsal__0,intrinsic,ALLN,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2.044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CB1686,gaba,0.3912,NA,NA,ALl1_dorsal,BAlc_dorsal,ALl1_dorsal__0,intrinsic,ALLN,NA,1,0.506,NA,NA,NA,NA,NA,NA,2,1.112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CB1824,gaba,0.744,NA,NA,ALl1_dorsal,BAlc_dorsal,ALl1_dorsal__0,intrinsic,ALLN,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,4.154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CB2471,gaba,0.58,NA,NA,ALl1_dorsal,BAlc_dorsal,ALl1_dorsal__0,intrinsic,ALLN,NA,2,0.889,NA,NA,NA,NA,NA,NA,3,1.5130000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CB2504,gaba,0.72,NA,NA,ALl1_dorsal,BAlc_dorsal,ALl1_dorsal__0,intrinsic,ALLN,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1.045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CB2908,gaba,0.3625,NA,NA,ALl1_dorsal,BAlc_dorsal,ALl1_dorsal__0,intrinsic,ALLN,NA,1,0.384,NA,NA,NA,NA,NA,NA,1,0.492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CB3007,gaba,0.482,NA,NA,ALl1_dorsal,BAlc_dorsal,ALl1_dorsal__0,intrinsic,ALLN,NA,1,0.609,NA,NA,NA,NA,NA,NA,2,1.104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CB3202,gaba,0.78,NA,NA,ALl1_dorsal,BAlc_dorsal,ALl1_dorsal__0,intrinsic,ALLN,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1.658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LN60a,gaba,0.96,NA,NA,ALl1_dorsal,BAlc_dorsal,ALl1_dorsal__0,intrinsic,ALLN,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LN60b,gaba,0.96,NA,NA,ALl1_dorsal,BAlc_dorsal,ALl1_dorsal__0,intrinsic,ALLN,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1.334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
l2LN19,gaba,0.96,NA,NA,ALl1_dorsal,BAlc_dorsal,NA,intrinsic,ALLN,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2.286,NA,NA,l2LN19,gaba,0.8,NA,NA,NA,NA,NA,NA,NA,NA,2,0.31,NA,NA
l2LN20,gaba,0.96,NA,NA,ALl1_dorsal,BAlc_dorsal,NA,intrinsic,ALLN,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2.852,NA,NA,l2LN20,gaba,0.8,NA,NA,NA,NA,NA,NA,NA,NA,2,0.5715,NA,NA
l2LN21,gaba,0.96,NA,NA,ALl1_dorsal,BAlc_dorsal,NA,intrinsic,ALLN,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1.387,NA,NA,l2LN21,gaba,0.8,NA,NA,NA,NA,NA,NA,NA,NA,1,0.508,NA,NA
l2LN22,gaba,0.78,NA,NA,ALl1_dorsal,BAlc_dorsal,NA,intrinsic,ALLN,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1.289,NA,NA,l2LN22,serotonin,0.235,NA,NA,NA,NA,NA,NA,1,0.098,NA,NA,NA,NA
lLN10,gaba,0.96,NA,NA,ALl1_dorsal,BAlc_dorsal,NA,intrinsic,ALLN,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.976,NA,NA,lLN10,gaba,0.8,NA,NA,NA,NA,NA,NA,NA,NA,1,0.403,NA,NA
lLN13,gaba,0.482,NA,NA,ALl1_dorsal,BAlc_dorsal,ALl1_dorsal__0,intrinsic,ALLN,NA,1,0.528,NA,NA,NA,NA,NA,NA,2,1.048,NA,NA,lLN13,gaba,0.8,NA,NA,NA,NA,NA,NA,NA,NA,3,0.5557,NA,NA
lLN2F_b,gaba,0.78,NA,NA,ALl1_dorsal,BAlc_dorsal,NA,intrinsic,ALLN,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
lLN2P_b,gaba,0.3,"gaba, myoinhibitory peptide","Sizemore et al., 2023",ALl1_dorsal,BAlc_dorsal,ALl1_dorsal__0,intrinsic,ALLN,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
lLN2P_c,gaba,0.96,NA,NA,ALl1_dorsal,BAlc_dorsal,ALl1_dorsal__0,intrinsic,ALLN,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,4.807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
